Region	Item	Alternative	NatCondA	NatCondB	NatCondC	LearnCondA	LearnCondB	LearnCondC	1a	1b	1c	2a	2b	2c	3a	3b	3c	4a	4b	4c	5a	5b	5c	6a	6b	6c	9a	9b	9c	10a	10b	10c	11a	11b	11c	12a	12b	12c	13a	13b	13c	15a	15b	15c	16a	16b	16c	17a	17b	17c	18a	18b	18c	19a	19b	19c	20a	20b	20c	21a	21b	21c	23a	23b	23c
4	3	103	-0.11398816	-0.109592014	0.037184264	-0.152233677	-0.2011599	0.473730126	-0.157856751		0.046379566	-0.144283236		0.114934045	-0.039824492		-0.049760819		-0.074275218			-0.14490881		-0.121920858		0.156895518						-0.397231526	-0.083949006		0.136948681	-0.194841135		0.143284407		-0.000626909		-0.783274221		1.287074638			1.052321589						1.358673407	0.094764148			0.175819008		0.051874297					-0.401692891	
5	3	103	-0.002478014	0.031036665	-0.250857756	-0.033382123	-0.186760182	-0.298096354	-0.040591908		-0.316667461	-0.024503182		-0.197079783	0.057661047		-0.238826025		0.018609768			0.043463562		0.183120345		-0.19116991						-0.849782659	-0.052569116		-0.305550851	0.036574045		-0.014704875		0.04934994		0.058209737		-0.976179528			-0.558618733						-0.227231101	-0.137807087			-0.287820665		0.738466826					-0.422870305	
1	4	104	0.504473133	0.11195089	-0.109555135	0.188433491	0.351582141	-0.046878768		-0.044315242			0.203578394			0.176589516		0.5157902			0.493156066		-0.109555135		0.344083706		0.734488942		-0.074824817		1.332261627			0.655435671			0.396726805		0.281356798		0.298037785		-0.311544628			0.456033886		-0.045283565		-0.145629253		-0.411922084								-0.376735038		-0.326661782	0.348340316		0.014684227
2	4	104	-0.100494915	-0.203149794	-0.259814645	-0.173683459	0.070480822	-0.334113951		-0.191519785			-0.161991061			-0.255938536		-0.023132049			-0.177857781		-0.259814645		-0.170895307		-0.096930672		-0.214485379		0.146297553			-0.083956956			-0.194865195		-0.134135324		-0.117424786		-0.734862814			1.841061588		-0.202925223		-0.185872646		-0.309413115								-0.049431939		-0.901254386	-0.384994134		-0.251532558
3	4	104	0.029963965	0.049274363	0.148228983	0.100616372	0.061598666	-0.13959581		0.082661772			-0.120783958			0.185945275		0.044839989			0.015087942		0.148228983		0.00320494		0.747616237		0.062321919		0.032912578			-0.044580852			0.112136055		0.049014942		-0.051128189		-0.08713311			0.758035822		-0.208114196		-0.107502044		-0.34338477								0.019152355		-0.547139266	-0.10458748		-0.054531468
4	4	104	0.315067699	0.236958612	0.310065601	0.663076308	0.722261639	0.71938692		0.209276962			0.109636833			0.391962042		0.354695803			0.275439594		0.310065601		0.249145528		0.289443407		0.624449685		-0.164938226			0.347866233			0.9876182		0.333221168		0.333219464		3.328320086			0.183185083		0.127958586		0.727481959		0.124634568								0.25149053		0.616312479	2.313267849		1.295471015
5	4	104	0.034114285	0.04460827	0.190523012	0.170769925	0.212261729	0.15081425		0.149753666			0.003270025			-0.019198883		0.044795498			0.023433073		0.190523012		0.075312012		0.072055806		0.170857021		1.908478179			0.128259793			0.118743323		0.165375345		-0.034864389		-0.626308956			-0.208204759		-0.264330505		0.053261415		0.089552512								0.120928182		0.288633997	0.759820796		0.276183209
1	5	105	0.317282824	0.417565209	0.282878784	#DIV/0!	0.332138402	0.382862208		0.486017418			0.355306254			0.411371955		0.407501413		0.390941335	0.227064234		0.174816233						0.157010215												0.365645929		0.332138402																			0.52053359			0.488259096
2	5	105	-0.314013367	-0.391157709	-0.551738711	#DIV/0!	-0.904667922	-0.363831331		-0.40405426			-0.288540992			-0.480877873		-0.307216991		-0.511566685	-0.320809742		-0.591910737						-0.661393357												-0.385110408		-0.904667922																			0.454295513			-0.863117073
3	5	105	0.135278426	0.131638024	0.035328725	#DIV/0!	0.877946619	0.264214987		0.178627586			0.052705833			0.163580653		0.099704095		-0.029868027	0.170852757		0.100525477						0.130576048												0.149243534		0.877946619																			-0.482068447			1.259108812
4	5	105	-0.021425848	0.037720042	0.130305524	#DIV/0!	-0.288750306	0.232257568		0.095440769			-0.052771005			0.070490363		0.00948013		0.061854016	-0.052331826		0.198757032						0.498212143												0.132431494		-0.288750306																			-0.047535285			0.345921921
5	5	105	-0.16382589	-0.145906105	0.282532519	#DIV/0!	0.754001574	-0.082883415		-0.136084318			-0.151806993			-0.149827004		-0.194202086		-0.074740134	-0.133449695		0.639805173						0.120168106												-0.033997627		0.754001574																			-0.633376052			0.215671914
1	6	106	0.282382669	0.265473155	0.216566823	0.302179379	0.105834837	0.333512286	0.199355316		0.100952339	0.220913038		0.356556282	0.426879653		0.192191848		0.30621214			0.22473417		0.480371049				0.12218244		0.540554705		-0.076674435	0.293032597		0.459909128	0.116485457				0.248856205		0.531958136			-0.281101344		0.019190198		0.266148851		0.05653371			1.441174175		0.823755115	-0.459394075		0.441381425		-0.095732756			-0.012280557	
2	6	106	-0.379415594	-0.388406281	-0.224812824	-0.643402977	-0.283480825	-0.206077091	-0.354128218		-0.324455786	-0.387161884		-0.177317084	-0.396956679		-0.172665602		-0.340627779			-0.436184784		-0.315009811				-0.487928758		-0.919869899		-0.538664988	-0.37827749		-0.117330964	-0.455196906				-0.351456604		-0.923354695			-0.726901773		-0.461433636		-0.491345637		-0.576967583			-0.558997776		-0.239177645	-0.936050862		0.326221776		0.668619641			-0.755292767	
3	6	106	-0.022477207	-0.167703243	-0.17414059	0.568565618	0.046055726	0.187027473	-0.034335661		-0.218312549	-0.260188951		-0.227702036	0.22709299		-0.076407185		-0.209851788			-0.125554698		0.480724414				-0.093396469		2.453307993		0.608369025	0.009470586		-0.224118687	-0.36730209				-0.118133133		1.416421241			-0.281045365		-0.447886483		-0.2673918		-0.410601662			0.123075472		0.106624952	1.693039974		0.892148557		1.105181609			-0.395981576	
4	6	106	0.220087053	0.283211416	0.410478196	0.242693089	0.627488788	0.52167962	0.362332057		0.661332082	0.121788799		0.139236986	0.176140302		0.43086552		0.142986812			0.423436021		0.463308907				0.38825108		0.012898369		0.363728754	0.449990383		0.366567921	0.005402093				0.266328869		0.568262345			0.18926082		0.506292164		0.564664767		0.341339587			0.628693143		0.762170763	-0.474917849		0.609638496		2.086285221			-0.168085995	
5	6	106	-0.116627619	-0.241759733	-0.112453915	-0.490566193	-0.359727847	-0.477664246	0.135502673		-0.217146682	-0.146069651		-0.195640936	-0.339315879		0.075425872		-0.239208475			-0.244310991		-0.241805468				-0.195302921		-0.983539318		-0.779436992	-0.155606729		-0.174079884	-0.38203075				-0.185012075		-0.841386527			-0.558615096		-0.18090358		-0.280317269		0.156533764			-0.144908015		-0.360774993	-1.263737602		-0.893125778		-1.030193886			-0.107813085	
1	7	107	0.284104152	0.047763575	-0.111258702	-0.128624346	-0.197470655	-0.300404074	0.287929488		-0.197284745	0.373956593		-0.044807521	0.190426374		-0.091683841		0.185588707			-0.090061556		0.114390325		-0.087011693		-0.189995342		-0.56802469		-0.73569481	-0.04735705		-0.197562327			-0.056044413				-0.171274672		-0.388654526	-0.601190415		0.066243273		0.401301275				-0.411743554	0.501710423		0.268096294			-1.161264909		-0.460750752			-0.540437802	
2	7	107	-0.064429095	-0.09451277	-0.263993925	-0.264407585	-0.338983182	-0.436909455	-0.024830056		-0.355961466	-0.059556196		-0.148726157	-0.108901033		-0.287294153		-0.030240053			-0.158785488		-0.102038622		-0.191388943		-0.143823132		-0.401205966		-0.827599434	-0.069261405		-0.232069309			-0.225940713				-0.625500013		-0.888337925	-0.367444543		-0.138380697		0.077422183				-0.376322106	-0.020994964		-0.356769882			-0.695376084		-0.799930686			-0.489601093	
3	7	107	-0.009137588	-0.275481354	-0.020094272	-0.017459305	0.219924112	0.251440976	0.056243373		0.308211518	-0.176138488		-0.126607505	0.092482352		-0.24188683		-0.296728264			-0.254234444		-0.003428663		0.096207062		0.09479486		-0.166223805		-0.167299382	-0.164073109		-0.330925793			-0.089303251				0.428437402		0.461223753	-0.133911987		1.361856218		0.084299892				1.039988689	-0.065555671		-0.349138091			0.240359574		1.307729428			-0.60712773	
