Participant	List	Ambiguity	PreIncongruent	IncongruentAmbiguous	Completed	Trial	Region	LengthofRegion	RT	Subject1	Group1	Level1	EITLevel1	EITScore1	Block1	PresentationOrder	FlankerCorrect	FlankerRT	ComprehensionCheckCorrect	TrimmingHigh	Trimming	NoZeroRTs	Sdev	mean	Max	Outliers	OutliersRemoved	OutliersRemoved	ComprehensionQuestionCalculator	SumCorrectby5	TotalAnswered	PercentCorrect	Length(x-axis)	RT(pre-lineoffit)	ResSlope	ResIntercept	ResExpected	Residual	JegerskiMcCormickStep1	JegerskiMcCormickStep2	JegerskiMcCormickStep3		
1	1	1	0	0	1	5	1	10	1.405517101	1	1	4	5	120	0	14	1	1.357586145	1	 	 	1.405517101	0.477062541	0.911577983	2.104234335	 	1.405517101	1.405517101	1	135	150	0.9	10	1.405517101	0.065635776	0.263141919	0.919499683	0.486017418	5	5	1	17	
1	1	1	0	0	1	5	2	8	0.38417387	1	1	4	5	120	0	14	1	1.357586145	1	 	 	0.38417387	0.477062541	0.911577983	2.104234335	 	0.38417387	0.38417387	1	135	150	0.9	8	0.38417387	0.065635776	0.263141919	0.78822813	-0.40405426	5	5	1	17	
1	1	1	0	0	1	5	3	6	0.835584164	1	1	4	5	120	0	14	1	1.357586145	1	 	 	0.835584164	0.477062541	0.911577983	2.104234335	 	0.835584164	0.835584164	1	135	150	0.9	6	0.835584164	0.065635776	0.263141919	0.656956578	0.178627586	5	5	1	17	
1	1	1	0	0	1	5	4	8	0.8836689	1	1	4	5	120	0	14	1	1.357586145	1	 	 	0.8836689	0.477062541	0.911577983	2.104234335	 	0.8836689	0.8836689	1	135	150	0.9	8	0.8836689	0.065635776	0.263141919	0.78822813	0.095440769	5	5	1	17	
1	1	1	0	0	1	5	5	7	0.586508036	1	1	4	5	120	0	14	1	1.357586145	1	 	 	0.586508036	0.477062541	0.911577983	2.104234335	 	0.586508036	0.586508036	1	135	150	0.9	7	0.586508036	0.065635776	0.263141919	0.722592354	-0.136084318	5	5	1	17	
1	1	1	1	1	1	6	1	10	1.118855	1	1	4	5	120	0	26	1	0.719387054	1	 	 	1.118855	0.477062541	0.911577983	2.104234335	 	1.118855	1.118855	1	135	150	0.9	10	1.118855	0.065635776	0.263141919	0.919499683	0.199355316	6	6	1	17	
1	1	1	1	1	1	6	2	8	0.434099913	1	1	4	5	120	0	26	1	0.719387054	1	 	 	0.434099913	0.477062541	0.911577983	2.104234335	 	0.434099913	0.434099913	1	135	150	0.9	8	0.434099913	0.065635776	0.263141919	0.78822813	-0.354128218	6	6	1	17	
1	1	1	1	1	1	6	3	10	0.885164022	1	1	4	5	120	0	26	1	0.719387054	1	 	 	0.885164022	0.477062541	0.911577983	2.104234335	 	0.885164022	0.885164022	1	135	150	0.9	10	0.885164022	0.065635776	0.263141919	0.919499683	-0.034335661	6	6	1	17	
1	1	1	1	1	1	6	4	5	0.953652859	1	1	4	5	120	0	26	1	0.719387054	1	 	 	0.953652859	0.477062541	0.911577983	2.104234335	 	0.953652859	0.953652859	1	135	150	0.9	5	0.953652859	0.065635776	0.263141919	0.591320801	0.362332057	6	6	1	17	
1	1	1	1	1	1	6	5	11	1.120638132	1	1	4	5	120	0	26	1	0.719387054	1	 	 	1.120638132	0.477062541	0.911577983	2.104234335	 	1.120638132	1.120638132	1	135	150	0.9	11	1.120638132	0.065635776	0.263141919	0.98513546	0.135502673	6	6	1	17	
