MatchingSection,ColumnA,ColumnF,ColumnJ,ColumnSemicolon,Translation,CorrectAnswer,Training,TrainingFull,imagename,Counterbalance,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,repeatTrainingloop.thisRepN,repeatTrainingloop.thisTrialN,repeatTrainingloop.thisN,repeatTrainingloop.thisIndex,learningLoop.thisRepN,learningLoop.thisTrialN,learningLoop.thisN,learningLoop.thisIndex,repeatloop.thisRepN,repeatloop.thisTrialN,repeatloop.thisN,repeatloop.thisIndex,loop1.thisRepN,loop1.thisTrialN,loop1.thisN,loop1.thisIndex,ContinueSpace.keys,ContinueSpace.rt,key_resp_3.keys,key_resp_3.rt,keyresponse4.keys,keyresponse4.corr,keyresponse4.rt,ContinueSpace2.keys,ContinueSpace2.rt,keyresponse.keys,keyresponse.corr,keyresponse.rt,key_resp_5.keys,key_resp_5.rt,participant,session,group,date,expName,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,8.880051726999227,,,,,,,,,,,,,11,001,1,2018_Oct_05_1245,VocabTraining,60.06225585527504,
los planos?,sucio,planos,jardinero,monedas,"plans, blueprints",f,None,los planos,planos,1,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,space,2.494212878984399,,,,,,,,,,,11,001,1,2018_Oct_05_1245,VocabTraining,60.06225585527504,
vaciar?,cuaderno,escenario,planos,vaciar,to empty,semicolon,None,vaciar,vaciar,1,0,0,0,0,0,0,0,0,0,1,1,15,,,,,,,,,,,space,1.7435280149802566,,,,,,,,,,,11,001,1,2018_Oct_05_1245,VocabTraining,60.06225585527504,
saltar la cuerda?,renunciar,saltarlacuerda,maratón,cuaderno,to jump rope,f,None,saltar la cuerda,saltarlacuerda,1,0,0,0,0,0,0,0,0,0,2,2,6,,,,,,,,,,,space,2.377191203995608,,,,,,,,,,,11,001,1,2018_Oct_05_1245,VocabTraining,60.06225585527504,
el porche?,maleta,monedas,porche,diamante,porch,j,None,el porche,porche,1,0,0,0,0,0,0,0,0,0,3,3,13,,,,,,,,,,,space,1.3237415859475732,,,,,,,,,,,11,001,1,2018_Oct_05_1245,VocabTraining,60.06225585527504,
las monedas?,saltarlacuerda,aviso,monedas,escalera,coins,j,None,las monedas,monedas,1,0,0,0,0,0,0,0,0,0,4,4,10,,,,,,,,,,,space,1.3228261260082945,,,,,,,,,,,11,001,1,2018_Oct_05_1245,VocabTraining,60.06225585527504,
el fregadero?,abrigo,renunciar,fregadero,maratón,kitchen sink,j,None,el fregadero,fregadero,1,0,0,0,0,0,0,0,0,0,5,5,12,,,,,,,,,,,space,2.1831112350337207,,,,,,,,,,,11,001,1,2018_Oct_05_1245,VocabTraining,60.06225585527504,
el diamante?,diamante,copa,escenario,abrigo,diamond,a,None,el diamante,diamante,1,0,0,0,0,0,0,0,0,0,6,6,3,,,,,,,,,,,space,1.4404490879969671,,,,,,,,,,,11,001,1,2018_Oct_05_1245,VocabTraining,60.06225585527504,
la copa?,planos,carpeta,copa,biblia,wineglass,j,None,la copa,copa,1,0,0,0,0,0,0,0,0,0,7,7,14,,,,,,,,,,,space,2.0781928549986333,,,,,,,,,,,11,001,1,2018_Oct_05_1245,VocabTraining,60.06225585527504,
algo sucio?,fregadero,biblia,saltarlacuerda,sucio,dirty,semicolon,None,sucio,sucio,1,0,0,0,0,0,0,0,0,0,8,8,16,,,,,,,,,,,space,1.2248606120119803,,,,,,,,,,,11,001,1,2018_Oct_05_1245,VocabTraining,60.06225585527504,
el maratón?,maratón,porche,carpeta,librero,marathon,a,None,el maratón,maratón,1,0,0,0,0,0,0,0,0,0,9,9,2,,,,,,,,,,,space,1.738560555037111,,,,,,,,,,,11,001,1,2018_Oct_05_1245,VocabTraining,60.06225585527504,
el cuaderno?,librero,sucio,cuaderno,jardinero,notebook,j,None,el cuaderno,cuaderno,1,0,0,0,0,0,0,0,0,0,10,10,11,,,,,,,,,,,space,1.4298811460030265,,,,,,,,,,,11,001,1,2018_Oct_05_1245,VocabTraining,60.06225585527504,
la escalera?,escalera,cuaderno,renunciar,planos,staircase,a,None,la escalera,escalera,1,0,0,0,0,0,0,0,0,0,11,11,0,,,,,,,,,,,space,1.1241412370000035,,,,,,,,,,,11,001,1,2018_Oct_05_1245,VocabTraining,60.06225585527504,
el abrigo?,carpeta,abrigo,biblia,porche,coat,f,None,el abrigo,abrigo,1,0,0,0,0,0,0,0,0,0,12,12,8,,,,,,,,,,,space,0.9408949640346691,,,,,,,,,,,11,001,1,2018_Oct_05_1245,VocabTraining,60.06225585527504,
el librero?,aviso,librero,diamante,fregadero,shelf,f,None,el librero,librero,1,0,0,0,0,0,0,0,0,0,13,13,7,,,,,,,,,,,space,1.1717017340124585,,,,,,,,,,,11,001,1,2018_Oct_05_1245,VocabTraining,60.06225585527504,
la biblia?,biblia,vaciar,escalera,maleta,bible,a,None,la biblia,biblia,1,0,0,0,0,0,0,0,0,0,14,14,4,,,,,,,,,,,space,1.3215190920163877,,,,,,,,,,,11,001,1,2018_Oct_05_1245,VocabTraining,60.06225585527504,
el aviso?,copa,jardinero,abrigo,aviso,warning,semicolon,None,el aviso,aviso,1,0,0,0,0,0,0,0,0,0,15,15,18,,,,,,,,,,,space,1.2550454630400054,,,,,,,,,,,11,001,1,2018_Oct_05_1245,VocabTraining,60.06225585527504,
el escenario?,monedas,diamante,sucio,escenario,stage,semicolon,None,el escenario,escenario,1,0,0,0,0,0,0,0,0,0,16,16,20,,,,,,,,,,,space,0.76911386201391,,,,,,,,,,,11,001,1,2018_Oct_05_1245,VocabTraining,60.06225585527504,
renunciar?,porche,escalera,librero,renunciar,to quit,semicolon,None,renunciar,renunciar,1,0,0,0,0,0,0,0,0,0,17,17,17,,,,,,,,,,,space,1.353785972984042,,,,,,,,,,,11,001,1,2018_Oct_05_1245,VocabTraining,60.06225585527504,
la carpeta?,vaciar,maratón,maleta,carpeta,folder,semicolon,None,la carpeta,carpeta,1,0,0,0,0,0,0,0,0,0,18,18,19,,,,,,,,,,,space,1.5420460070017725,,,,,,,,,,,11,001,1,2018_Oct_05_1245,VocabTraining,60.06225585527504,
la maleta?,escenario,maleta,vaciar,copa,suitcase,f,None,la maleta,maleta,1,0,0,0,0,0,0,0,0,0,19,19,9,,,,,,,,,,,space,1.541810276976321,,,,,,,,,,,11,001,1,2018_Oct_05_1245,VocabTraining,60.06225585527504,
el jardinero?,jardinero,fregadero,aviso,saltarlacuerda,gardener,a,None,el jardinero,jardinero,1,0,0,0,0,0,0,0,0,0,20,20,1,,,,,,,,,,,space,1.641751462011598,,,,,,,,,,,11,001,1,2018_Oct_05_1245,VocabTraining,60.06225585527504,
,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,j,1,9.595999876968563,,,,,,,,11,001,1,2018_Oct_05_1245,VocabTraining,60.06225585527504,
la maleta?,escenario,maleta,vaciar,copa,suitcase,f,None,la maleta,maleta,1,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,9,,,,,,,,space,10.884572620969266,f,1,2.659254641039297,,,11,001,1,2018_Oct_05_1245,VocabTraining,60.06225585527504,
saltar la cuerda?,renunciar,saltarlacuerda,maratón,cuaderno,to jump rope,f,None,saltar la cuerda,saltarlacuerda,1,0,0,0,0,,,,,,,,,0,0,0,0,0,1,1,6,,,,,,,,,,f,1,1.5883391520474106,,,11,001,1,2018_Oct_05_1245,VocabTraining,60.06225585527504,
