MatchingSection,ColumnA,ColumnF,ColumnJ,ColumnSemicolon,Translation,CorrectAnswer,Training,TrainingFull,imagename,Counterbalance,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,repeatTrainingloop.thisRepN,repeatTrainingloop.thisTrialN,repeatTrainingloop.thisN,repeatTrainingloop.thisIndex,learningLoop.thisRepN,learningLoop.thisTrialN,learningLoop.thisN,learningLoop.thisIndex,repeatloop.thisRepN,repeatloop.thisTrialN,repeatloop.thisN,repeatloop.thisIndex,loop1.thisRepN,loop1.thisTrialN,loop1.thisN,loop1.thisIndex,ContinueSpace.keys,ContinueSpace.rt,key_resp_3.keys,key_resp_3.rt,keyresponse4.keys,keyresponse4.corr,keyresponse4.rt,ContinueSpace2.keys,ContinueSpace2.rt,keyresponse.keys,keyresponse.corr,keyresponse.rt,key_resp_5.keys,key_resp_5.rt,participant,session,group,date,expName,frameRate,
vaciar?,cuaderno,escenario,planos,vaciar,to empty,semicolon,None,vaciar,vaciar,1,1,0,1,0,0,0,0,0,0,8,8,15,,,,,,,,,,,space,2.8952610249980353,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
el aviso?,copa,jardinero,abrigo,aviso,warning,semicolon,None,el aviso,aviso,1,1,0,1,0,0,0,0,0,0,9,9,18,,,,,,,,,,,space,4.166546130029019,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
algo sucio?,fregadero,biblia,saltarlacuerda,sucio,dirty,semicolon,None,sucio,sucio,1,1,0,1,0,0,0,0,0,0,10,10,16,,,,,,,,,,,space,1.45846359297866,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
el abrigo?,carpeta,abrigo,biblia,porche,coat,f,None,el abrigo,abrigo,1,1,0,1,0,0,0,0,0,0,11,11,8,,,,,,,,,,,space,1.5092869080253877,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
los planos?,sucio,planos,jardinero,monedas,"plans, blueprints",f,None,los planos,planos,1,1,0,1,0,0,0,0,0,0,12,12,5,,,,,,,,,,,space,2.0884338580071926,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
el jardinero?,jardinero,fregadero,aviso,saltarlacuerda,gardener,a,None,el jardinero,jardinero,1,1,0,1,0,0,0,0,0,0,13,13,1,,,,,,,,,,,space,3.013255696045235,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
el porche?,maleta,monedas,porche,diamante,porch,j,None,el porche,porche,1,1,0,1,0,0,0,0,0,0,14,14,13,,,,,,,,,,,space,4.030158770037815,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
la copa?,planos,carpeta,copa,biblia,wineglass,j,None,la copa,copa,1,1,0,1,0,0,0,0,0,0,15,15,14,,,,,,,,,,,space,2.9319771680166014,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
el maratón?,maratón,porche,carpeta,librero,marathon,a,None,el maratón,maratón,1,1,0,1,0,0,0,0,0,0,16,16,2,,,,,,,,,,,space,1.4409006119822152,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
las monedas?,saltarlacuerda,aviso,monedas,escalera,coins,j,None,las monedas,monedas,1,1,0,1,0,0,0,0,0,0,17,17,10,,,,,,,,,,,space,3.296415912976954,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
renunciar?,porche,escalera,librero,renunciar,to quit,semicolon,None,renunciar,renunciar,1,1,0,1,0,0,0,0,0,0,18,18,17,,,,,,,,,,,space,2.3060144239570946,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
la carpeta?,vaciar,maratón,maleta,carpeta,folder,semicolon,None,la carpeta,carpeta,1,1,0,1,0,0,0,0,0,0,19,19,19,,,,,,,,,,,space,1.5881890230230056,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
el escenario?,monedas,diamante,sucio,escenario,stage,semicolon,None,el escenario,escenario,1,1,0,1,0,0,0,0,0,0,20,20,20,,,,,,,,,,,space,1.5912326520192437,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
,,,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,j,1,2.161360365047585,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
vaciar?,cuaderno,escenario,planos,vaciar,to empty,semicolon,None,vaciar,vaciar,1,1,0,1,0,,,,,,,,,0,0,0,0,0,0,0,15,,,,,,,,space,1.3401272280025296,semicolon,1,2.5448742929729633,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
saltar la cuerda?,renunciar,saltarlacuerda,maratón,cuaderno,to jump rope,f,None,saltar la cuerda,saltarlacuerda,1,1,0,1,0,,,,,,,,,0,0,0,0,0,1,1,6,,,,,,,,,,f,1,1.4383800870273262,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
el jardinero?,jardinero,fregadero,aviso,saltarlacuerda,gardener,a,None,el jardinero,jardinero,1,1,0,1,0,,,,,,,,,0,0,0,0,0,2,2,1,,,,,,,,,,a,1,2.242075920046773,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
el maratón?,maratón,porche,carpeta,librero,marathon,a,None,el maratón,maratón,1,1,0,1,0,,,,,,,,,0,0,0,0,0,3,3,2,,,,,,,,,,a,1,1.0726268670405261,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
algo sucio?,fregadero,biblia,saltarlacuerda,sucio,dirty,semicolon,None,sucio,sucio,1,1,0,1,0,,,,,,,,,0,0,0,0,0,4,4,16,,,,,,,,,,semicolon,1,2.7490775730111636,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
los planos?,sucio,planos,jardinero,monedas,"plans, blueprints",f,None,los planos,planos,1,1,0,1,0,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,f,1,1.2197691499604844,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
el aviso?,copa,jardinero,abrigo,aviso,warning,semicolon,None,el aviso,aviso,1,1,0,1,0,,,,,,,,,0,0,0,0,0,6,6,18,,,,,,,,,,semicolon,1,1.237630884977989,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
la copa?,planos,carpeta,copa,biblia,wineglass,j,None,la copa,copa,1,1,0,1,0,,,,,,,,,0,0,0,0,0,7,7,14,,,,,,,,,,j,1,0.9067325930227526,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
el escenario?,monedas,diamante,sucio,escenario,stage,semicolon,None,el escenario,escenario,1,1,0,1,0,,,,,,,,,0,0,0,0,0,8,8,20,,,,,,,,,,semicolon,1,1.0749032299499959,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
el diamante?,diamante,copa,escenario,abrigo,diamond,a,None,el diamante,diamante,1,1,0,1,0,,,,,,,,,0,0,0,0,0,9,9,3,,,,,,,,,,a,1,0.9868410449707881,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
las monedas?,saltarlacuerda,aviso,monedas,escalera,coins,j,None,las monedas,monedas,1,1,0,1,0,,,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,j,1,0.7676474830368534,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
la carpeta?,vaciar,maratón,maleta,carpeta,folder,semicolon,None,la carpeta,carpeta,1,1,0,1,0,,,,,,,,,0,0,0,0,0,11,11,19,,,,,,,,,,semicolon,1,1.6039585200487636,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
renunciar?,porche,escalera,librero,renunciar,to quit,semicolon,None,renunciar,renunciar,1,1,0,1,0,,,,,,,,,0,0,0,0,0,12,12,17,,,,,,,,,,semicolon,1,1.8244348560110666,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
la maleta?,escenario,maleta,vaciar,copa,suitcase,f,None,la maleta,maleta,1,1,0,1,0,,,,,,,,,0,0,0,0,0,13,13,9,,,,,,,,,,f,1,0.9718688389984891,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
el abrigo?,carpeta,abrigo,biblia,porche,coat,f,None,el abrigo,abrigo,1,1,0,1,0,,,,,,,,,0,0,0,0,0,14,14,8,,,,,,,,,,f,1,0.808013639994897,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
el fregadero?,abrigo,renunciar,fregadero,maratón,kitchen sink,j,None,el fregadero,fregadero,1,1,0,1,0,,,,,,,,,0,0,0,0,0,15,15,12,,,,,,,,,,j,1,2.29269229399506,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
el porche?,maleta,monedas,porche,diamante,porch,j,None,el porche,porche,1,1,0,1,0,,,,,,,,,0,0,0,0,0,16,16,13,,,,,,,,,,j,1,0.8201296780025586,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
el librero?,aviso,librero,diamante,fregadero,shelf,f,None,el librero,librero,1,1,0,1,0,,,,,,,,,0,0,0,0,0,17,17,7,,,,,,,,,,f,1,1.1213199450285174,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
el cuaderno?,librero,sucio,cuaderno,jardinero,notebook,j,None,el cuaderno,cuaderno,1,1,0,1,0,,,,,,,,,0,0,0,0,0,18,18,11,,,,,,,,,,j,1,1.1207304259878583,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
la escalera?,escalera,cuaderno,renunciar,planos,staircase,a,None,la escalera,escalera,1,1,0,1,0,,,,,,,,,0,0,0,0,0,19,19,0,,,,,,,,,,a,1,0.8905087020248175,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
la biblia?,biblia,vaciar,escalera,maleta,bible,a,None,la biblia,biblia,1,1,0,1,0,,,,,,,,,0,0,0,0,0,20,20,4,,,,,,,,,,a,1,0.9241789149818942,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
,,,,,,,,,,,1,0,1,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
