MatchingSection,ColumnA,ColumnF,ColumnJ,ColumnSemicolon,Translation,CorrectAnswer,Training,TrainingFull,imagename,Counterbalance,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,repeatTrainingloop.thisRepN,repeatTrainingloop.thisTrialN,repeatTrainingloop.thisN,repeatTrainingloop.thisIndex,learningLoop.thisRepN,learningLoop.thisTrialN,learningLoop.thisN,learningLoop.thisIndex,repeatloop.thisRepN,repeatloop.thisTrialN,repeatloop.thisN,repeatloop.thisIndex,loop1.thisRepN,loop1.thisTrialN,loop1.thisN,loop1.thisIndex,ContinueSpace.keys,ContinueSpace.rt,key_resp_3.keys,key_resp_3.rt,keyresponse4.keys,keyresponse4.corr,keyresponse4.rt,ContinueSpace2.keys,ContinueSpace2.rt,keyresponse.keys,keyresponse.corr,keyresponse.rt,key_resp_5.keys,key_resp_5.rt,participant,session,group,date,expName,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.318057961994782,,,,,,,,,,,,,10,001,1,2018_Oct_04_1534,VocabTraining,59.802945455059294,
saltar la cuerda?,renunciar,saltarlacuerda,maratón,cuaderno,to jump rope,f,None,saltar la cuerda,saltarlacuerda,1,0,0,0,0,0,0,0,0,0,0,0,6,,,,,,,,,,,space,56.289256974007,,,,,,,,,,,10,001,1,2018_Oct_04_1534,VocabTraining,59.802945455059294,
las monedas?,saltarlacuerda,aviso,monedas,escalera,coins,j,None,las monedas,monedas,1,0,0,0,0,0,0,0,0,0,1,1,10,,,,,,,,,,,space,4.532913348986767,,,,,,,,,,,10,001,1,2018_Oct_04_1534,VocabTraining,59.802945455059294,
algo sucio?,fregadero,biblia,saltarlacuerda,sucio,dirty,semicolon,None,sucio,sucio,1,0,0,0,0,0,0,0,0,0,2,2,16,,,,,,,,,,,space,3.478707898000721,,,,,,,,,,,10,001,1,2018_Oct_04_1534,VocabTraining,59.802945455059294,
la escalera?,escalera,cuaderno,renunciar,planos,staircase,a,None,la escalera,escalera,1,0,0,0,0,0,0,0,0,0,3,3,0,,,,,,,,,,,space,3.4155120120267384,,,,,,,,,,,10,001,1,2018_Oct_04_1534,VocabTraining,59.802945455059294,
renunciar?,porche,escalera,librero,renunciar,to quit,semicolon,None,renunciar,renunciar,1,0,0,0,0,0,0,0,0,0,4,4,17,,,,,,,,,,,space,4.195409754989669,,,,,,,,,,,10,001,1,2018_Oct_04_1534,VocabTraining,59.802945455059294,
el maratón?,maratón,porche,carpeta,librero,marathon,a,None,el maratón,maratón,1,0,0,0,0,0,0,0,0,0,5,5,2,,,,,,,,,,,space,4.032809539989103,,,,,,,,,,,10,001,1,2018_Oct_04_1534,VocabTraining,59.802945455059294,
la biblia?,biblia,vaciar,escalera,maleta,bible,a,None,la biblia,biblia,1,0,0,0,0,0,0,0,0,0,6,6,4,,,,,,,,,,,space,3.1799223020207137,,,,,,,,,,,10,001,1,2018_Oct_04_1534,VocabTraining,59.802945455059294,
la maleta?,escenario,maleta,vaciar,copa,suitcase,f,None,la maleta,maleta,1,0,0,0,0,0,0,0,0,0,7,7,9,,,,,,,,,,,space,2.3073221960221417,,,,,,,,,,,10,001,1,2018_Oct_04_1534,VocabTraining,59.802945455059294,
vaciar?,cuaderno,escenario,planos,vaciar,to empty,semicolon,None,vaciar,vaciar,1,0,0,0,0,0,0,0,0,0,8,8,15,,,,,,,,,,,space,3.825556190975476,,,,,,,,,,,10,001,1,2018_Oct_04_1534,VocabTraining,59.802945455059294,
el escenario?,monedas,diamante,sucio,escenario,stage,semicolon,None,el escenario,escenario,1,0,0,0,0,0,0,0,0,0,9,9,20,,,,,,,,,,,space,6.489895054954104,,,,,,,,,,,10,001,1,2018_Oct_04_1534,VocabTraining,59.802945455059294,
el jardinero?,jardinero,fregadero,aviso,saltarlacuerda,gardener,a,None,el jardinero,jardinero,1,0,0,0,0,0,0,0,0,0,10,10,1,,,,,,,,,,,space,3.864445107989013,,,,,,,,,,,10,001,1,2018_Oct_04_1534,VocabTraining,59.802945455059294,
el cuaderno?,librero,sucio,cuaderno,jardinero,notebook,j,None,el cuaderno,cuaderno,1,0,0,0,0,0,0,0,0,0,11,11,11,,,,,,,,,,,space,2.026617534982506,,,,,,,,,,,10,001,1,2018_Oct_04_1534,VocabTraining,59.802945455059294,
el abrigo?,carpeta,abrigo,biblia,porche,coat,f,None,el abrigo,abrigo,1,0,0,0,0,0,0,0,0,0,12,12,8,,,,,,,,,,,space,3.112619861960411,,,,,,,,,,,10,001,1,2018_Oct_04_1534,VocabTraining,59.802945455059294,
la copa?,planos,carpeta,copa,biblia,wineglass,j,None,la copa,copa,1,0,0,0,0,0,0,0,0,0,13,13,14,,,,,,,,,,,space,2.211573379987385,,,,,,,,,,,10,001,1,2018_Oct_04_1534,VocabTraining,59.802945455059294,
la carpeta?,vaciar,maratón,maleta,carpeta,folder,semicolon,None,la carpeta,carpeta,1,0,0,0,0,0,0,0,0,0,14,14,19,,,,,,,,,,,space,2.957075674959924,,,,,,,,,,,10,001,1,2018_Oct_04_1534,VocabTraining,59.802945455059294,
el aviso?,copa,jardinero,abrigo,aviso,warning,semicolon,None,el aviso,aviso,1,0,0,0,0,0,0,0,0,0,15,15,18,,,,,,,,,,,space,2.5834426259971224,,,,,,,,,,,10,001,1,2018_Oct_04_1534,VocabTraining,59.802945455059294,
el diamante?,diamante,copa,escenario,abrigo,diamond,a,None,el diamante,diamante,1,0,0,0,0,0,0,0,0,0,16,16,3,,,,,,,,,,,space,3.394179130962584,,,,,,,,,,,10,001,1,2018_Oct_04_1534,VocabTraining,59.802945455059294,
el librero?,aviso,librero,diamante,fregadero,shelf,f,None,el librero,librero,1,0,0,0,0,0,0,0,0,0,17,17,7,,,,,,,,,,,space,4.050774603965692,,,,,,,,,,,10,001,1,2018_Oct_04_1534,VocabTraining,59.802945455059294,
el porche?,maleta,monedas,porche,diamante,porch,j,None,el porche,porche,1,0,0,0,0,0,0,0,0,0,18,18,13,,,,,,,,,,,space,2.706972957996186,,,,,,,,,,,10,001,1,2018_Oct_04_1534,VocabTraining,59.802945455059294,
los planos?,sucio,planos,jardinero,monedas,"plans, blueprints",f,None,los planos,planos,1,0,0,0,0,0,0,0,0,0,19,19,5,,,,,,,,,,,space,3.4642561479704455,,,,,,,,,,,10,001,1,2018_Oct_04_1534,VocabTraining,59.802945455059294,
el fregadero?,abrigo,renunciar,fregadero,maratón,kitchen sink,j,None,el fregadero,fregadero,1,0,0,0,0,0,0,0,0,0,20,20,12,,,,,,,,,,,space,4.67931676999433,,,,,,,,,,,10,001,1,2018_Oct_04_1534,VocabTraining,59.802945455059294,
,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,j,1,19.35683527000947,,,,,,,,10,001,1,2018_Oct_04_1534,VocabTraining,59.802945455059294,
el diamante?,diamante,copa,escenario,abrigo,diamond,a,None,el diamante,diamante,1,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,3,,,,,,,,space,12.655701634997968,a,1,3.226790450979024,,,10,001,1,2018_Oct_04_1534,VocabTraining,59.802945455059294,
los planos?,sucio,planos,jardinero,monedas,"plans, blueprints",f,None,los planos,planos,1,0,0,0,0,,,,,,,,,0,0,0,0,0,1,1,5,,,,,,,,,,f,1,2.574786447978113,,,10,001,1,2018_Oct_04_1534,VocabTraining,59.802945455059294,
el abrigo?,carpeta,abrigo,biblia,porche,coat,f,None,el abrigo,abrigo,1,0,0,0,0,,,,,,,,,0,0,0,0,0,2,2,8,,,,,,,,,,f,1,2.3572850739583373,,,10,001,1,2018_Oct_04_1534,VocabTraining,59.802945455059294,
la maleta?,escenario,maleta,vaciar,copa,suitcase,f,None,la maleta,maleta,1,0,0,0,0,,,,,,,,,0,0,0,0,0,3,3,9,,,,,,,,,,f,1,1.854919706005603,,,10,001,1,2018_Oct_04_1534,VocabTraining,59.802945455059294,
saltar la cuerda?,renunciar,saltarlacuerda,maratón,cuaderno,to jump rope,f,None,saltar la cuerda,saltarlacuerda,1,0,0,0,0,,,,,,,,,0,0,0,0,0,4,4,6,,,,,,,,,,f,1,2.6611736550112255,,,10,001,1,2018_Oct_04_1534,VocabTraining,59.802945455059294,
algo sucio?,fregadero,biblia,saltarlacuerda,sucio,dirty,semicolon,None,sucio,sucio,1,0,0,0,0,,,,,,,,,0,0,0,0,0,5,5,16,,,,,,,,,,semicolon,1,5.753037917020265,,,10,001,1,2018_Oct_04_1534,VocabTraining,59.802945455059294,
el librero?,aviso,librero,diamante,fregadero,shelf,f,None,el librero,librero,1,0,0,0,0,,,,,,,,,0,0,0,0,0,6,6,7,,,,,,,,,,f,1,2.6619797479943372,,,10,001,1,2018_Oct_04_1534,VocabTraining,59.802945455059294,
renunciar?,porche,escalera,librero,renunciar,to quit,semicolon,None,renunciar,renunciar,1,0,0,0,0,,,,,,,,,0,0,0,0,0,7,7,17,,,,,,,,,,semicolon,1,3.196334562031552,,,10,001,1,2018_Oct_04_1534,VocabTraining,59.802945455059294,
la biblia?,biblia,vaciar,escalera,maleta,bible,a,None,la biblia,biblia,1,0,0,0,0,,,,,,,,,0,0,0,0,0,8,8,4,,,,,,,,,,a,1,2.1561337820021436,,,10,001,1,2018_Oct_04_1534,VocabTraining,59.802945455059294,
la escalera?,escalera,cuaderno,renunciar,planos,staircase,a,None,la escalera,escalera,1,0,0,0,0,,,,,,,,,0,0,0,0,0,9,9,0,,,,,,,,,,a,1,1.7594964620075189,,,10,001,1,2018_Oct_04_1534,VocabTraining,59.802945455059294,
el fregadero?,abrigo,renunciar,fregadero,maratón,kitchen sink,j,None,el fregadero,fregadero,1,0,0,0,0,,,,,,,,,0,0,0,0,0,10,10,12,,,,,,,,,,j,1,2.7249166649999097,,,10,001,1,2018_Oct_04_1534,VocabTraining,59.802945455059294,
la carpeta?,vaciar,maratón,maleta,carpeta,folder,semicolon,None,la carpeta,carpeta,1,0,0,0,0,,,,,,,,,0,0,0,0,0,11,11,19,,,,,,,,,,semicolon,1,1.7255173299927264,,,10,001,1,2018_Oct_04_1534,VocabTraining,59.802945455059294,
