MatchingSection,ColumnA,ColumnF,ColumnJ,ColumnSemicolon,Translation,CorrectAnswer,Training,TrainingFull,imagename,Counterbalance,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,repeatTrainingloop.thisRepN,repeatTrainingloop.thisTrialN,repeatTrainingloop.thisN,repeatTrainingloop.thisIndex,learningLoop.thisRepN,learningLoop.thisTrialN,learningLoop.thisN,learningLoop.thisIndex,repeatloop.thisRepN,repeatloop.thisTrialN,repeatloop.thisN,repeatloop.thisIndex,loop1.thisRepN,loop1.thisTrialN,loop1.thisN,loop1.thisIndex,ContinueSpace.keys,ContinueSpace.rt,key_resp_3.keys,key_resp_3.rt,keyresponse4.keys,keyresponse4.corr,keyresponse4.rt,ContinueSpace2.keys,ContinueSpace2.rt,keyresponse.keys,keyresponse.corr,keyresponse.rt,key_resp_5.keys,key_resp_5.rt,participant,session,group,date,expName,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,12.230745884997305,,,,,,,,,,,,,6,001,1,2018_Oct_02_0934,VocabTraining,59.773252898955604,
el cuaderno?,librero,sucio,cuaderno,jardinero,notebook,j,None,el cuaderno,cuaderno,1,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,,,,,space,2.7973113949992694,,,,,,,,,,,6,001,1,2018_Oct_02_0934,VocabTraining,59.773252898955604,
el diamante?,diamante,copa,escenario,abrigo,diamond,a,None,el diamante,diamante,1,0,0,0,0,0,0,0,0,0,1,1,3,,,,,,,,,,,space,1.6915382869774476,,,,,,,,,,,6,001,1,2018_Oct_02_0934,VocabTraining,59.773252898955604,
el aviso?,copa,jardinero,abrigo,aviso,warning,semicolon,None,el aviso,aviso,1,0,0,0,0,0,0,0,0,0,2,2,18,,,,,,,,,,,space,1.9279693909920752,,,,,,,,,,,6,001,1,2018_Oct_02_0934,VocabTraining,59.773252898955604,
el fregadero?,abrigo,renunciar,fregadero,maratón,kitchen sink,j,None,el fregadero,fregadero,1,0,0,0,0,0,0,0,0,0,3,3,12,,,,,,,,,,,space,2.003844515013043,,,,,,,,,,,6,001,1,2018_Oct_02_0934,VocabTraining,59.773252898955604,
la biblia?,biblia,vaciar,escalera,maleta,bible,a,None,la biblia,biblia,1,0,0,0,0,0,0,0,0,0,4,4,4,,,,,,,,,,,space,1.1884761870023794,,,,,,,,,,,6,001,1,2018_Oct_02_0934,VocabTraining,59.773252898955604,
algo sucio?,fregadero,biblia,saltarlacuerda,sucio,dirty,semicolon,None,sucio,sucio,1,0,0,0,0,0,0,0,0,0,5,5,16,,,,,,,,,,,space,0.9914033400127664,,,,,,,,,,,6,001,1,2018_Oct_02_0934,VocabTraining,59.773252898955604,
el porche?,maleta,monedas,porche,diamante,porch,j,None,el porche,porche,1,0,0,0,0,0,0,0,0,0,6,6,13,,,,,,,,,,,space,1.1578497529844753,,,,,,,,,,,6,001,1,2018_Oct_02_0934,VocabTraining,59.773252898955604,
el maratón?,maratón,porche,carpeta,librero,marathon,a,None,el maratón,maratón,1,0,0,0,0,0,0,0,0,0,7,7,2,,,,,,,,,,,space,1.5227718639653176,,,,,,,,,,,6,001,1,2018_Oct_02_0934,VocabTraining,59.773252898955604,
el jardinero?,jardinero,fregadero,aviso,saltarlacuerda,gardener,a,None,el jardinero,jardinero,1,0,0,0,0,0,0,0,0,0,8,8,1,,,,,,,,,,,space,1.3429023260250688,,,,,,,,,,,6,001,1,2018_Oct_02_0934,VocabTraining,59.773252898955604,
el abrigo?,carpeta,abrigo,biblia,porche,coat,f,None,el abrigo,abrigo,1,0,0,0,0,0,0,0,0,0,9,9,8,,,,,,,,,,,space,1.1211771960370243,,,,,,,,,,,6,001,1,2018_Oct_02_0934,VocabTraining,59.773252898955604,
la copa?,planos,carpeta,copa,biblia,wineglass,j,None,la copa,copa,1,0,0,0,0,0,0,0,0,0,10,10,14,,,,,,,,,,,space,1.3731727209524252,,,,,,,,,,,6,001,1,2018_Oct_02_0934,VocabTraining,59.773252898955604,
las monedas?,saltarlacuerda,aviso,monedas,escalera,coins,j,None,las monedas,monedas,1,0,0,0,0,0,0,0,0,0,11,11,10,,,,,,,,,,,space,0.924610499991104,,,,,,,,,,,6,001,1,2018_Oct_02_0934,VocabTraining,59.773252898955604,
el escenario?,monedas,diamante,sucio,escenario,stage,semicolon,None,el escenario,escenario,1,0,0,0,0,0,0,0,0,0,12,12,20,,,,,,,,,,,space,1.1215749559924006,,,,,,,,,,,6,001,1,2018_Oct_02_0934,VocabTraining,59.773252898955604,
el librero?,aviso,librero,diamante,fregadero,shelf,f,None,el librero,librero,1,0,0,0,0,0,0,0,0,0,13,13,7,,,,,,,,,,,space,1.6573456740006804,,,,,,,,,,,6,001,1,2018_Oct_02_0934,VocabTraining,59.773252898955604,
saltar la cuerda?,renunciar,saltarlacuerda,maratón,cuaderno,to jump rope,f,None,saltar la cuerda,saltarlacuerda,1,0,0,0,0,0,0,0,0,0,14,14,6,,,,,,,,,,,space,2.075812226976268,,,,,,,,,,,6,001,1,2018_Oct_02_0934,VocabTraining,59.773252898955604,
la carpeta?,vaciar,maratón,maleta,carpeta,folder,semicolon,None,la carpeta,carpeta,1,0,0,0,0,0,0,0,0,0,15,15,19,,,,,,,,,,,space,1.0756313370075077,,,,,,,,,,,6,001,1,2018_Oct_02_0934,VocabTraining,59.773252898955604,
los planos?,sucio,planos,jardinero,monedas,"plans, blueprints",f,None,los planos,planos,1,0,0,0,0,0,0,0,0,0,16,16,5,,,,,,,,,,,space,2.2905767600168474,,,,,,,,,,,6,001,1,2018_Oct_02_0934,VocabTraining,59.773252898955604,
renunciar?,porche,escalera,librero,renunciar,to quit,semicolon,None,renunciar,renunciar,1,0,0,0,0,0,0,0,0,0,17,17,17,,,,,,,,,,,space,1.0062080519855954,,,,,,,,,,,6,001,1,2018_Oct_02_0934,VocabTraining,59.773252898955604,
la escalera?,escalera,cuaderno,renunciar,planos,staircase,a,None,la escalera,escalera,1,0,0,0,0,0,0,0,0,0,18,18,0,,,,,,,,,,,space,0.8871094250353053,,,,,,,,,,,6,001,1,2018_Oct_02_0934,VocabTraining,59.773252898955604,
la maleta?,escenario,maleta,vaciar,copa,suitcase,f,None,la maleta,maleta,1,0,0,0,0,0,0,0,0,0,19,19,9,,,,,,,,,,,space,0.9699039600091055,,,,,,,,,,,6,001,1,2018_Oct_02_0934,VocabTraining,59.773252898955604,
vaciar?,cuaderno,escenario,planos,vaciar,to empty,semicolon,None,vaciar,vaciar,1,0,0,0,0,0,0,0,0,0,20,20,15,,,,,,,,,,,space,0.9533000719966367,,,,,,,,,,,6,001,1,2018_Oct_02_0934,VocabTraining,59.773252898955604,
,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,f,0,19.24811857898021,,,,,,,,6,001,1,2018_Oct_02_0934,VocabTraining,59.773252898955604,
el maratón?,maratón,porche,carpeta,librero,marathon,a,None,el maratón,maratón,1,0,0,0,0,1,0,1,0,0,0,0,2,,,,,,,,,,,space,1.0860860900138505,,,,,,,,,,,6,001,1,2018_Oct_02_0934,VocabTraining,59.773252898955604,
la copa?,planos,carpeta,copa,biblia,wineglass,j,None,la copa,copa,1,0,0,0,0,1,0,1,0,0,1,1,14,,,,,,,,,,,space,0.6063932900433429,,,,,,,,,,,6,001,1,2018_Oct_02_0934,VocabTraining,59.773252898955604,
las monedas?,saltarlacuerda,aviso,monedas,escalera,coins,j,None,las monedas,monedas,1,0,0,0,0,1,0,1,0,0,2,2,10,,,,,,,,,,,space,0.48554989602416754,,,,,,,,,,,6,001,1,2018_Oct_02_0934,VocabTraining,59.773252898955604,
saltar la cuerda?,renunciar,saltarlacuerda,maratón,cuaderno,to jump rope,f,None,saltar la cuerda,saltarlacuerda,1,0,0,0,0,1,0,1,0,0,3,3,6,,,,,,,,,,,space,1.0233361269929446,,,,,,,,,,,6,001,1,2018_Oct_02_0934,VocabTraining,59.773252898955604,
el fregadero?,abrigo,renunciar,fregadero,maratón,kitchen sink,j,None,el fregadero,fregadero,1,0,0,0,0,1,0,1,0,0,4,4,12,,,,,,,,,,,space,2.1435221229912713,,,,,,,,,,,6,001,1,2018_Oct_02_0934,VocabTraining,59.773252898955604,
el cuaderno?,librero,sucio,cuaderno,jardinero,notebook,j,None,el cuaderno,cuaderno,1,0,0,0,0,1,0,1,0,0,5,5,11,,,,,,,,,,,space,2.928876903024502,,,,,,,,,,,6,001,1,2018_Oct_02_0934,VocabTraining,59.773252898955604,
renunciar?,porche,escalera,librero,renunciar,to quit,semicolon,None,renunciar,renunciar,1,0,0,0,0,1,0,1,0,0,6,6,17,,,,,,,,,,,space,0.6702374979504384,,,,,,,,,,,6,001,1,2018_Oct_02_0934,VocabTraining,59.773252898955604,
la escalera?,escalera,cuaderno,renunciar,planos,staircase,a,None,la escalera,escalera,1,0,0,0,0,1,0,1,0,0,7,7,0,,,,,,,,,,,space,0.8750435099937022,,,,,,,,,,,6,001,1,2018_Oct_02_0934,VocabTraining,59.773252898955604,
la maleta?,escenario,maleta,vaciar,copa,suitcase,f,None,la maleta,maleta,1,0,0,0,0,1,0,1,0,0,8,8,9,,,,,,,,,,,space,1.1595290719997138,,,,,,,,,,,6,001,1,2018_Oct_02_0934,VocabTraining,59.773252898955604,
vaciar?,cuaderno,escenario,planos,vaciar,to empty,semicolon,None,vaciar,vaciar,1,0,0,0,0,1,0,1,0,0,9,9,15,,,,,,,,,,,space,0.7388686020276509,,,,,,,,,,,6,001,1,2018_Oct_02_0934,VocabTraining,59.773252898955604,
el porche?,maleta,monedas,porche,diamante,porch,j,None,el porche,porche,1,0,0,0,0,1,0,1,0,0,10,10,13,,,,,,,,,,,space,0.705865795025602,,,,,,,,,,,6,001,1,2018_Oct_02_0934,VocabTraining,59.773252898955604,
la biblia?,biblia,vaciar,escalera,maleta,bible,a,None,la biblia,biblia,1,0,0,0,0,1,0,1,0,0,11,11,4,,,,,,,,,,,space,0.5396864850190468,,,,,,,,,,,6,001,1,2018_Oct_02_0934,VocabTraining,59.773252898955604,
el escenario?,monedas,diamante,sucio,escenario,stage,semicolon,None,el escenario,escenario,1,0,0,0,0,1,0,1,0,0,12,12,20,,,,,,,,,,,space,0.8384712020051666,,,,,,,,,,,6,001,1,2018_Oct_02_0934,VocabTraining,59.773252898955604,
el jardinero?,jardinero,fregadero,aviso,saltarlacuerda,gardener,a,None,el jardinero,jardinero,1,0,0,0,0,1,0,1,0,0,13,13,1,,,,,,,,,,,space,2.444123658002354,,,,,,,,,,,6,001,1,2018_Oct_02_0934,VocabTraining,59.773252898955604,
